AirportCode,CountyCode
EG03,E10000013
EG19,E10000023
EG32,S12000010
EG34,E06000019
EG3L,E06000057
EG64,E10000023
EG74,E10000018
EGAA,N09000001
EGAB,N09000006
EGAC,N09000003
EGAD,N09000011
EGAE,N09000005
EGBB,E08000025
EGBD,E10000007
EGBE,E08000026
EGBF,E08000032
EGBG,E06000016
EGBJ,E10000013
EGBK,E10000021
EGBL,E10000031
EGBM,E10000028
EGBN,E06000018
EGBO,E08000031
EGBP,E10000013
EGBR,E06000011
EGBS,E06000019
EGBT,E10000002
EGBW,E10000031
EGCA,E10000007
EGCB,E08000003
EGCC,E08000003
EGCF,E06000013
EGCG,E10000019
EGCJ,E10000023
EGCK,W06000002
EGCL,E10000019
EGCN,E08000017
EGCS,E10000019
EGCT,E06000051
EGCV,E06000051
EGCW,W06000023
EGDC,E10000008
EGDD,E10000025
EGDJ,E06000054
EGDM,E06000054
EGDN,E06000054
EGDO,E06000052
EGDR,E06000052
EGDT,E06000054
EGDV,E06000054
EGDW,E10000027
EGDX,W06000014
EGDY,E10000027
EGEF,S12000027
EGEH,S12000027
EGEN,S12000023
EGEO,S12000035
EGET,S12000027
EGEW,S12000023
EGEY,S12000035
EGFA,W06000008
EGFE,W06000009
EGFF,W06000015
EGFH,W06000011
EGFP,W06000010
EGGD,E10000027
EGGP,E08000012
EGGW,E06000032
EGHA,E06000059
EGHB,E10000016
EGHC,E06000052
EGHE,E06000052
EGHF,E10000014
EGHG,E10000027
EGHH,E06000058
EGHI,E06000045
EGHJ,E06000046
EGHL,E10000014
EGHN,E06000046
EGHO,E10000014
EGHP,E10000014
EGHQ,E06000052
EGHR,E10000032
EGHS,E10000027
EGHU,E10000008
EGHY,E06000052
EGKA,E10000032
EGKB,E09000006
EGKC,E10000032
EGKE,E10000016
EGKH,E10000016
EGKK,E10000032
EGKL,E10000011
EGKR,E10000030
EGLA,E06000052
EGLC,E09000025
EGLD,E10000002
EGLF,E10000014
EGLJ,E10000025
EGLK,E10000014
EGLL,E09000017
EGLM,E06000040
EGLP,E06000037
EGLS,E06000054
EGMA,E10000003
EGMC,E06000033
EGMD,E10000016
EGMF,E10000016
EGMJ,E06000055
EGML,E12000007
EGMT,E10000012
EGNC,E10000006
EGND,E11000006
EGNE,E10000024
EGNF,E10000024
EGNG,E10000023
EGNH,E10000017
EGNI,E10000019
EGNJ,E06000011
EGNL,E10000006
EGNM,E08000035
EGNO,E10000017
EGNP,E08000035
EGNR,E06000050
EGNT,E08000021
EGNU,E06000014
EGNV,E06000047
EGNW,E10000019
EGNX,E10000018
EGNY,E06000011
EGOD,W06000002
EGOE,E06000051
EGOM,E10000006
EGOQ,W06000001
EGOS,E06000051
EGOV,W06000002
EGOW,E08000012
EGPA,S12000023
EGPB,S12000027
EGPC,S12000017
EGPD,S12000034
EGPE,S12000017
EGPF,S12000038
EGPG,S12000050
EGPH,S12000019
EGPI,S12000035
EGPJ,S12000047
EGPK,S12000049
EGPM,S12000027
EGPN,S12000042
EGPT,S12000048
EGPU,S12000035
EGPW,S12000027
EGQB,N09000004
EGQK,S12000020
EGQL,S12000047
EGQS,S12000020
EGSA,E10000020
EGSC,E10000003
EGSF,E06000031
EGSG,E10000012
EGSH,E10000020
EGSI,E10000020
EGSJ,E10000020
EGSL,E10000012
EGSM,E10000029
EGSN,E10000003
EGSO,E10000029
EGSP,E06000031
EGSQ,E10000012
EGSR,E10000012
EGSS,E10000012
EGST,E10000029
EGSU,E10000003
EGSV,E10000020
EGSW,E10000029
EGSX,E10000012
EGTA,E10000002
EGTB,E10000002
EGTC,E06000056
EGTD,E10000030
EGTE,E10000008
EGTF,E10000030
EGTH,E06000055
EGTK,E10000025
EGTO,E06000035
EGTP,E06000052
EGTR,E10000015
EGTU,E10000008
EGTW,E06000054
EGUB,E10000025
EGUD,E10000025
EGUL,E10000029
EGUN,E10000029
EGUO,E06000054
EGUP,E10000020
EGUW,E10000029
EGUY,E10000003
EGVA,E10000013
EGVN,E10000025
EGVO,E10000014
EGVP,E10000014
EGVT,E10000012
EGWC,E06000051
EGWE,E06000056
EGWN,E06000006
EGWU,E09000017
EGXC,E10000019
EGXD,E10000023
EGXE,E10000023
EGXG,E10000023
EGXH,E10000020
EGXP,E10000019
EGXT,E10000019
EGXU,E10000023
EGXW,E10000019
EGXY,E10000024
EGXZ,E10000023
EGYD,E10000019
EGYE,E10000019
EGYI,E10000019
EGYM,E10000020
EGYO,E10000019
EGZJ,S12000017
EGZL,S12000017
EGZU,S12000035
EGZV,E10000008
